5	5	5
5.20545	7.19424	5.34396
5.77721	9.47187	5.95534
6.6743	11.9334	6.94191
7.87569	14.6161	8.46166
9.36304	17.4672	10.7177
11.0999	20.2997	13.9333
13.0061	22.7424	18.284
14.9294	24.2264	23.7657
16.6303	24.084	30.0215
17.8025	21.8204	36.24
18.1513	17.4799	41.3112
17.5104	11.8153	44.2938
15.9273	6.00404	44.8994
13.6487	1.07643	43.5713
11.0157	-2.47522	41.1229
8.34537	-4.6813	38.3025
5.86175	-5.8495	35.5823
3.6853	-6.33793	33.1698
1.85467	-6.44134	31.1061
0.356438	-6.36517	29.3565
-0.850208	-6.23897	27.8653
-1.81684	-6.13879	26.5812
-2.59598	-6.10628	25.4655
-3.23607	-6.16225	24.4924
-3.77932	-6.31537	23.6473
-4.26113	-6.56754	22.9239
-4.71046	-6.91681	22.3225
-5.15043	-7.35885	21.8487
-5.59898	-7.88723	21.5119
-6.06939	-8.49288	21.3253
-6.57059	-9.16288	21.3046
-7.10701	-9.87883	21.4668
-7.67833	-10.615	21.8283
-8.27875	-11.3365	22.402
-8.89633	-11.9988	23.1927
-9.51229	-12.5481	24.1924
-10.101	-12.9257	25.374
-10.6308	-13.0743	26.6874
-11.0663	-12.949	28.0583
-11.3727	-12.5285	29.3927
-11.5202	-11.8244	30.5882
-11.4904	-10.8846	31.55
-11.2795	-9.78742	32.2074
-10.9006	-8.62752	32.5252
-10.3818	-7.49861	32.5069
-9.76146	-6.47787	32.1878
-9.08297	-5.617	31.6234
-8.38853	-4.9409	30.8764
-7.71504	-4.45202	30.0065
-7.09162	-4.13759	29.0648
-6.53895	-3.97688	28.0916
-6.06992	-3.94701	27.1172
-5.69107	-4.02682	26.1638
-5.40423	-4.19887	25.2478
-5.20816	-4.45024	24.3822
-5.09992	-4.77237	23.5776
-5.07592	-5.16044	22.8441
-5.13262	-5.6125	22.1922
-5.26696	-6.12845	21.6333
-5.4765	-6.70887	21.1805
-5.75932	-7.35371	20.8492
-6.11365	-8.06082	20.657
-6.53732	-8.82407	20.624
